C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,00:00:00,REGULAR,0006989774,0002370411                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,04:00:00,REGULAR,0006989795,0002370413                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0006989813,0002370436                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0006989924,0002370512                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0006990200,0002370573                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0006990562,0002370623                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0006990734,0002370648                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0006990758,0002370653                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0006990772,0002370676                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0006990860,0002370731                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0006991054,0002370788                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0006991295,0002370839                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0006991446,0002370866                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0006991452,0002370869                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,08:00:00,REGULAR,0006991491,0002370992                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,12:00:00,REGULAR,0006991651,0002371197                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,16:00:00,REGULAR,0006991935,0002371230                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2019,20:00:00,REGULAR,0006992684,0002371283                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,00:00:00,REGULAR,0006992898,0002371304                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,04:00:00,REGULAR,0006992909,0002371306                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,08:00:00,REGULAR,0006992957,0002371417                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,12:00:00,REGULAR,0006993111,0002371709                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,16:00:00,REGULAR,0006993420,0002371764                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2019,20:00:00,REGULAR,0006994142,0002371907                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/27/2019,00:00:00,REGULAR,0006994346,0002371947                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/27/2019,04:00:00,REGULAR,0006994362,0002371950                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/27/2019,08:00:00,REGULAR,0006994420,0002372057                                            
